Response ID,Recipient Last Name,Distribution Channel,User Language,The restaurant feels luxury.,The restaurant feels high class.,Your gender:,Your age:,Condition Assigned
R_1C3oqGvZqhlYKK3,,anonymous,EN,9,9,1,26,natural_tempo
R_26nerYd1ygNzbMg,,anonymous,EN,9,9,1,36,slow_tempo
R_T0oF5kwCRGGQw3T,,anonymous,EN,9,9,1,32,fast_tempo
R_1Uf4SytKNJgqwO5,,anonymous,EN,8,8,1,57,natural_tempo
R_2ZKX9o1dgpJqbyZ,,anonymous,EN,5,6,2,36,fast_tempo
R_33matpytGPfPV8N,,anonymous,EN,2,3,2,39,fast_tempo
R_2t07h79vVoJHsSV,,anonymous,EN,9,9,1,45,slow_tempo
R_2f39RWp5GppKdx5,,anonymous,EN,7,6,2,46,natural_tempo
R_OxRUkyVmKOKwzAd,,anonymous,EN,9,9,2,42,slow_tempo
R_OdnxUwnT5bO83xD,,anonymous,EN,7,7,1,32,slow_tempo
R_2S622jwO58H6Yq9,,anonymous,EN,6,7,2,30,natural_tempo
R_3PLkjBePh7cUF0u,,anonymous,EN,9,9,2,41,fast_tempo
R_3soF8BOzvOmgFGA,,anonymous,EN,7,7,2,23,fast_tempo
R_2cnkKgZo4K2MIKw,,anonymous,EN,9,9,1,46,slow_tempo
R_3EtyM3acDePDTOC,,anonymous,EN,7,7,1,34,natural_tempo
R_2B4YINmgYLj6wUw,,anonymous,EN,7,8,1,29,natural_tempo
R_30riZpgohlX4c5J,,anonymous,EN,7,9,1,38,fast_tempo
R_ApyZh7UwMHSU0St,,anonymous,EN,6,6,2,26,slow_tempo
R_RJfSkcE15qqpKKZ,,anonymous,EN,8,7,1,33,natural_tempo
R_3HI9VFZrnZTapQ7,,anonymous,EN,9,9,1,64,slow_tempo
R_24OiLlCocGwJQ8D,,anonymous,EN,8,9,2,44,fast_tempo
R_1eM4n7WFe7KpNGw,,anonymous,EN,7,8,1,28,natural_tempo
R_Cffc9UAe3qskS41,,anonymous,EN,5,5,1,56,slow_tempo
R_6QNsk5aKg1Dok2l,,anonymous,EN,9,9,2,23,fast_tempo
R_2xyHpdZo4ahHJZZ,,anonymous,EN,8,5,2,71,natural_tempo
R_syTXgp1lpfXYWVb,,anonymous,EN,6,6,1,32,slow_tempo
R_3iqedAtDit0IOLd,,anonymous,EN,3,5,2,58,fast_tempo
R_sczCrv6UEjWq0cp,,anonymous,EN,9,9,1,63,fast_tempo
R_5bT1vPRI7oxWSaJ,,anonymous,EN,8,8,1,34,natural_tempo
R_3p5dLD9zPU7I4KD,,anonymous,EN,7,6,1,43,slow_tempo
R_p485jQBtuFR4eSl,,anonymous,EN,4,5,1,66,slow_tempo
R_2f2qApJNNpdMs20,,anonymous,EN,8,9,2,26,fast_tempo
R_D7bNdhY6JI8NoOZ,,anonymous,EN,7,9,1,62,natural_tempo
R_3Oc50EV27hlZ1rB,,anonymous,EN,2,2,2,26,slow_tempo
R_1kHvBGVBeLNWUAd,,anonymous,EN,7,7,2,36,slow_tempo
R_4ZwiJ3aHOWDzMQ1,,anonymous,EN,7,7,2,50,fast_tempo
R_2pJnlLJWZPvXkpr,,anonymous,EN,9,9,2,35,fast_tempo
R_2dWOuFQfEnvq7Om,,anonymous,EN,8,8,2,30,natural_tempo
R_3dWEmiK3sYN3aUb,,anonymous,EN,9,9,2,30,natural_tempo
R_3qsNiWLxQGL5N3s,,anonymous,EN,5,6,2,46,slow_tempo
R_32QSLSKcvZ8tXCS,,anonymous,EN,6,6,1,32,natural_tempo
R_299UiNll8vkYv8u,,anonymous,EN,9,9,2,51,fast_tempo
R_3KW2cze2X1k3cQi,,anonymous,EN,9,9,2,37,fast_tempo
R_1K8Vlww2uaRpvbE,,anonymous,EN,8,9,1,32,slow_tempo
R_3oF9xXB8p6JVgZJ,,anonymous,EN,8,8,1,29,fast_tempo
R_3D14S8HxTDjQVFy,,anonymous,EN,7,7,1,47,natural_tempo
R_ZC476jPS4KRtYfT,,anonymous,EN,6,5,1,32,natural_tempo
R_8kAjqzeCew95t0l,,anonymous,EN,9,9,2,30,natural_tempo
R_yw4tsuinqLrGuuR,,anonymous,EN,9,8,1,45,slow_tempo
R_3mgeoNrm9FWxQKU,,anonymous,EN,9,9,1,25,slow_tempo
R_2VIWf8P5IRWU4ZS,,anonymous,EN,9,9,1,46,slow_tempo
R_3KJchnnhXO6TqMA,,anonymous,EN,9,9,2,38,fast_tempo
R_2U6kUYnmLYczTJ1,,anonymous,EN,8,8,1,56,natural_tempo
R_Zsh2sGIWaxE1tBL,,anonymous,EN,8,8,2,34,natural_tempo
R_1NDEwsPvppfqcj0,,anonymous,EN,9,8,1,29,fast_tempo
R_25sgRpgF8yoQ5Y7,,anonymous,EN,7,7,1,29,slow_tempo
R_1JCxBhAX8qYWwIW,,anonymous,EN,7,8,2,33,fast_tempo
R_2X6Y2d5xOziGNez,,anonymous,EN,9,9,2,21,natural_tempo
R_1diXaHSKO7PvSp5,,anonymous,EN,8,8,2,37,slow_tempo
R_30d8snIptm43YqK,,anonymous,EN,6,6,2,41,fast_tempo
R_3fOukU5g8vLJTtV,,anonymous,EN,9,9,1,33,slow_tempo
R_2V4QhGM1I6n7o88,,anonymous,EN,8,6,1,49,natural_tempo
R_1KeYlaUcJpV1DMG,,anonymous,EN,9,9,2,40,natural_tempo
R_eIKWlfnO9NzDEjv,,anonymous,EN,9,9,2,27,natural_tempo
R_WeS6cozahkTlb33,,anonymous,EN,4,4,2,46,slow_tempo
R_2YWd2b0OSiNDnvE,,anonymous,EN,9,9,1,51,slow_tempo
R_2B2uGW0iWoXBI63,,anonymous,EN,7,6,1,50,fast_tempo
R_25tE67MZkBvszQz,,anonymous,EN,9,9,2,25,natural_tempo
R_32WPT1CvMkA92ad,,anonymous,EN,7,9,1,32,fast_tempo
R_2qpJm7DN6TDCwdF,,anonymous,EN,8,7,2,64,slow_tempo
R_Qgo81p7MESpSYi5,,anonymous,EN,7,7,1,39,fast_tempo
R_1CmAo4oySe88E22,,anonymous,EN,1,2,2,47,natural_tempo
R_28MrUa3OmWAyVuY,,anonymous,EN,9,9,1,28,slow_tempo
R_2VF6VIYsfZaaFey,,anonymous,EN,6,8,1,29,fast_tempo
R_3M53q8GMY6Hrza6,,anonymous,EN,7,7,1,29,slow_tempo
R_1Qi3PprpfEwCtNE,,anonymous,EN,8,9,1,30,fast_tempo
R_25vALRed6B2pPjp,,anonymous,EN,8,8,1,38,slow_tempo
R_1QgwWJbSPNn0qxb,,anonymous,EN,7,6,2,57,natural_tempo
R_1Q4olBX6Ixb2Htd,,anonymous,EN,9,9,1,51,fast_tempo
R_1LHzEux7FKKdFlK,,anonymous,EN,7,7,2,31,natural_tempo
R_2TNS2zri8coN9c6,,anonymous,EN,6,8,1,60,slow_tempo
R_3gUCPp0WwAnEAyL,,anonymous,EN,7,8,1,30,natural_tempo
R_1LexrOWQzRgYrx9,,anonymous,EN,8,7,1,28,fast_tempo
R_2X6e8h4rFpl3g46,,anonymous,EN,7,6,1,32,slow_tempo
R_2XhghL7aXi5JIBN,,anonymous,EN,6,8,1,40,fast_tempo
R_1Q5GVeeqlSaYOnp,,anonymous,EN,7,7,2,37,natural_tempo
R_acazurNftbo1ytb,,anonymous,EN,7,7,2,30,natural_tempo
R_1dsmdfrKIlqhKNW,,anonymous,EN,7,9,1,41,slow_tempo
R_Re3fpb0P84Q5KQ9,,anonymous,EN,6,6,2,30,fast_tempo
R_3n2FMYtBQRjfPcc,,anonymous,EN,6,7,2,37,fast_tempo
R_1GBUiRCLzpRuYRq,,anonymous,EN,6,5,1,52,slow_tempo
R_QmLA2FhVhYBSppv,,anonymous,EN,9,9,1,21,natural_tempo
R_6VxcyDkz1McCNup,,anonymous,EN,7,7,1,37,natural_tempo
R_vDGpZj8s3JG9cZ3,,anonymous,EN,5,5,1,28,slow_tempo
R_29oFzvUTMqaR4F1,,anonymous,EN,7,7,1,28,slow_tempo
R_V3uBP3YbfPJcHTz,,anonymous,EN,9,9,1,62,fast_tempo
R_2fizEvi2SzFNitk,,anonymous,EN,8,9,2,30,natural_tempo
R_O1MMCkrKCt7pdMl,,anonymous,EN,9,9,2,27,slow_tempo
R_PM1H6pZ8NhTHwYN,,anonymous,EN,8,8,1,40,fast_tempo
R_1LzNhcRZJfWnyBP,,anonymous,EN,8,6,2,28,fast_tempo
R_24w37VGoldHsQSB,,anonymous,EN,9,9,2,69,slow_tempo
R_3F5tuePxziLYIl6,,anonymous,EN,8,8,1,43,natural_tempo
R_3qU8zze9XUG8tGV,,anonymous,EN,2,7,1,43,natural_tempo
R_NUrssZSiC0j7PtD,,anonymous,EN,7,9,1,27,fast_tempo
R_1CvcyqeSOBH3A4u,,anonymous,EN,7,6,1,29,natural_tempo
R_1eF4fayKYa8IapF,,anonymous,EN,7,9,1,33,slow_tempo
R_2SqTanjcYZ7u45y,,anonymous,EN,8,8,2,23,fast_tempo
R_3KTx6InZH1E5tJz,,anonymous,EN,5,8,2,34,fast_tempo
R_24pWgzAF0x9IufG,,anonymous,EN,9,9,1,36,fast_tempo
R_22VzZWkce2CvkBU,,anonymous,EN,7,8,2,36,slow_tempo
R_1QGgA3Fgr47J28V,,anonymous,EN,3,5,1,33,natural_tempo
R_21swLZzGcVIUz3h,,anonymous,EN,9,9,2,64,natural_tempo
R_2VvymWHAvESCQkj,,anonymous,EN,7,7,2,60,slow_tempo
R_2DUNcIe07H3pAkw,,anonymous,EN,7,7,1,40,fast_tempo
R_3h5Xqn9j8EEU72J,,anonymous,EN,9,8,2,30,natural_tempo
R_1F5Inwjxdkxdnya,,anonymous,EN,8,9,2,43,slow_tempo
R_2pQraUzgYSWOYN0,,anonymous,EN,9,9,1,30,slow_tempo
R_6FjzdTxlt5NMMoN,,anonymous,EN,9,9,1,27,natural_tempo
R_poMj6lPm8wkuHeh,,anonymous,EN,9,8,1,20,fast_tempo
R_4MG0vl6rDyRaz3H,,anonymous,EN,5,5,1,34,slow_tempo
R_2B9iLmfTCk3lUQP,,anonymous,EN,7,8,2,43,fast_tempo
R_3Hq25LqXtMU8iRO,,anonymous,EN,9,9,1,31,fast_tempo
R_1ot1sylHqOFrA0e,,anonymous,EN,6,6,1,43,slow_tempo
R_2uVu6z9TmPtWTQz,,anonymous,EN,9,9,1,42,natural_tempo
R_TcGYzqB8xH68z7P,,anonymous,EN,8,7,1,22,slow_tempo
R_PYTj9y6Ts8kjDfb,,anonymous,EN,3,3,1,22,natural_tempo
R_3iJPdbpaTd75Dgh,,anonymous,EN,8,9,1,41,fast_tempo
R_puPeyi05tYaAFJD,,anonymous,EN,9,9,2,48,natural_tempo
R_3iF5wCr6GVu3tod,,anonymous,EN,7,7,2,46,slow_tempo
R_tYSRe8J2SFyYsXn,,anonymous,EN,9,9,2,70,fast_tempo
R_1I47soiiDHeoHqP,,anonymous,EN,9,9,1,46,fast_tempo
R_3qVzTSqFJYiBAwq,,anonymous,EN,6,6,2,51,natural_tempo
R_1gIa3Ic6OJFeT5B,,anonymous,EN,9,9,1,36,natural_tempo
R_3QVrrA6GNsO5IMT,,anonymous,EN,9,9,1,68,slow_tempo
R_Dued8QwDfuBVRLP,,anonymous,EN,9,9,1,46,slow_tempo
R_2aVwos8rKk7rMoI,,anonymous,EN,7,7,1,28,fast_tempo
R_2yflIWBxOYeOGBA,,anonymous,EN,9,9,2,21,natural_tempo
R_3PgxfyAUSZHyuLv,,anonymous,EN,8,8,2,35,slow_tempo
R_3dDRlqEUaM7nwJB,,anonymous,EN,5,5,1,36,fast_tempo
R_2E4t2wDYUWtBotD,,anonymous,EN,6,6,1,46,fast_tempo
R_3s1uPtZLckOXLZa,,anonymous,EN,7,4,2,45,natural_tempo
R_vp1FpA3AnLmv04N,,anonymous,EN,7,7,1,25,slow_tempo
R_yR9qbW3DOkNQXaF,,anonymous,EN,7,6,1,27,natural_tempo
R_3qsLCmHCpJnVDZO,,anonymous,EN,6,7,1,45,slow_tempo
R_bdRofQprKISe2ZP,,anonymous,EN,9,6,2,29,slow_tempo
R_1OoUN25TrwKWDdJ,,anonymous,EN,7,7,1,47,natural_tempo
R_5BGLS5keAVMPwM9,,anonymous,EN,7,9,2,37,fast_tempo
R_2CTWbrUctzUS2aQ,,anonymous,EN,9,9,2,36,slow_tempo
R_1eLhBgdVdIXWKWO,,anonymous,EN,8,6,1,50,slow_tempo
R_3Q8JoaTewUn1Vpn,,anonymous,EN,6,5,1,28,fast_tempo
R_3QDdjovhO2Yj7EV,,anonymous,EN,9,9,1,41,fast_tempo
R_2ZDKHqooXUM6wTf,,anonymous,EN,8,7,1,30,fast_tempo
R_1mwIdN5sxwTKKsk,,anonymous,EN,9,9,1,75,natural_tempo
R_8cy6Lq9Woox31qF,,anonymous,EN,6,6,1,39,natural_tempo
R_w4WYNxe2pMV3ORr,,anonymous,EN,9,9,2,55,fast_tempo
R_wY7IKmEaHiEoQCJ,,anonymous,EN,8,9,1,22,slow_tempo
R_3qxw9YwHMQarVla,,anonymous,EN,9,9,1,37,slow_tempo
R_AGuR8bfk9172Aut,,anonymous,EN,8,8,2,50,natural_tempo
R_2Y63uJu2DbaJ9Il,,anonymous,EN,9,9,2,64,fast_tempo
R_z6J6PEFowm00AQ9,,anonymous,EN,9,9,2,37,fast_tempo
R_zezuYco3IMFdiPD,,anonymous,EN,8,9,2,19,slow_tempo
R_3fq7Py14TJdN9c5,,anonymous,EN,6,5,1,34,natural_tempo
R_BGjWFqk8c6su4X7,,anonymous,EN,7,7,1,35,natural_tempo
R_1OVOYHGG8H8G6f8,,anonymous,EN,6,4,1,24,slow_tempo
R_RlvkiWcylrLXchH,,anonymous,EN,5,7,2,25,fast_tempo
R_27PZFdyzX4Ig6oK,,anonymous,EN,8,8,1,40,slow_tempo
R_1NfhNfyLuwrBIyd,,anonymous,EN,9,9,1,61,fast_tempo
R_tJKYp7ETMpKRpyV,,anonymous,EN,8,6,2,70,fast_tempo
R_26aTlRyZVRRcLsL,,anonymous,EN,8,9,2,69,natural_tempo
R_2DLJXnmesTVN1z5,,anonymous,EN,7,7,1,27,slow_tempo
R_1GPPOZUzThv9CR9,,anonymous,EN,6,7,1,44,natural_tempo
R_Avbn9cGnRgiLZ4t,,anonymous,EN,9,6,2,35,fast_tempo
R_1C1LyJFrKwheKwn,,anonymous,EN,8,8,1,43,slow_tempo
R_3m1UabeEreg7nY7,,anonymous,EN,9,9,1,25,slow_tempo
R_V4EyoAlOPkaDfLH,,anonymous,EN,7,8,1,39,natural_tempo
R_2xWcVQyAxOY7UMe,,anonymous,EN,9,9,1,28,natural_tempo
R_21c5pXOHQXfMH7E,,anonymous,EN,9,8,1,41,fast_tempo
R_10oOZoA3BsmwSLY,,anonymous,EN,9,9,2,50,fast_tempo
R_b8HqkqqpDs7QR4l,,anonymous,EN,9,9,1,62,natural_tempo
R_3kHsXidPC9pA0CD,,anonymous,EN,8,8,1,43,slow_tempo
R_DV3n2Si4ncCAT0l,,anonymous,EN,9,9,1,78,slow_tempo
R_xAy8FOfmgZvTUkx,,anonymous,EN,9,9,1,43,fast_tempo
R_1jD7dCbS7gL5svN,,anonymous,EN,7,7,1,29,slow_tempo
R_3fZg8W809forOwP,,anonymous,EN,9,8,2,42,slow_tempo
R_1E6gtO0iVsO8dFa,,anonymous,EN,8,8,1,47,fast_tempo
R_1n9qwZghIsFE9Ej,,anonymous,EN,7,7,2,40,natural_tempo
R_1DOnUHywK13y45D,,anonymous,EN,9,8,1,51,natural_tempo
R_yXaQB3Ft7zL0g9P,,anonymous,EN,6,6,1,38,fast_tempo
R_3hDCXMEuTraGL5W,,anonymous,EN,7,7,1,43,natural_tempo
R_3Rpv5iQDCQLBzQ5,,anonymous,EN,6,7,1,24,fast_tempo
R_qWaoE5cp0EpvjNL,,anonymous,EN,9,9,2,29,slow_tempo
R_3rN7JhO7YZ04ppT,,anonymous,EN,9,8,2,66,natural_tempo
R_22wU2CKYLsswAnl,,anonymous,EN,8,8,2,37,slow_tempo
R_1NkvHF0JOjs8TLz,,anonymous,EN,8,9,1,39,natural_tempo
R_vZbpJGTjUc0wEo1,,anonymous,EN,9,8,1,40,fast_tempo
R_1NFyIcYWYnYp5Nk,,anonymous,EN,4,5,1,26,fast_tempo
R_RWQz0Fs6XLv4QAV,,anonymous,EN,6,8,2,31,slow_tempo
R_1K3CtGvwidhDvXk,,anonymous,EN,7,6,1,25,natural_tempo
R_263WMct81f3jLom,,anonymous,EN,8,7,2,54,fast_tempo
R_3g1qIG4Zi8EGR49,,anonymous,EN,6,8,2,33,natural_tempo
R_vrc9D1KubBETQE9,,anonymous,EN,9,9,1,38,natural_tempo
R_3MfGcAy8agy0Xn0,,anonymous,EN,6,9,2,30,fast_tempo
R_eFqk54uEnMPmUhP,,anonymous,EN,9,9,2,35,slow_tempo
R_33lpdt2iVwsXovB,,anonymous,EN,9,8,2,47,slow_tempo
R_1k1ybm4V04JwXaw,,anonymous,EN,5,5,2,37,fast_tempo
R_VUY52LLXdPqqkwN,,anonymous,EN,8,8,2,35,natural_tempo
R_1ZIkMeoXGPtQ1Ud,,anonymous,EN,8,8,2,46,fast_tempo
R_1ClUddYEPrlyprc,,anonymous,EN,9,9,1,65,slow_tempo
R_3Q0ktcWL3bymfrg,,anonymous,EN,7,9,1,27,natural_tempo
R_1hzYXL8j6jqrf52,,anonymous,EN,9,9,2,41,slow_tempo
R_3Nz9h7XOMvk9t4u,,anonymous,EN,7,4,1,54,natural_tempo
R_oXBDFKv8mnKhWDv,,anonymous,EN,9,9,1,28,fast_tempo
R_2wntQainhV3nG2Z,,anonymous,EN,5,5,2,27,fast_tempo
R_22LkKlQSjxVxThl,,anonymous,EN,5,6,2,51,natural_tempo
R_Y3KjRRMd9bvPPwJ,,anonymous,EN,9,9,1,49,slow_tempo
R_3fE86s9XsAx9BnM,,anonymous,EN,9,8,1,56,slow_tempo
R_xaYSC9fh9rYxcWt,,anonymous,EN,9,8,2,38,natural_tempo
R_1Lp4mLVSy05557Q,,anonymous,EN,7,9,1,32,fast_tempo
R_qyK34nRDqrgi9tT,,anonymous,EN,6,6,2,35,slow_tempo
R_23dYCLbcu3kVE3Z,,anonymous,EN,5,3,2,39,natural_tempo
R_3p3fEGFYqRlxXIV,,anonymous,EN,9,7,1,71,fast_tempo
R_2YVUoiKognMXOHV,,anonymous,EN,8,6,1,49,natural_tempo
R_V2Rha5palew3fUZ,,anonymous,EN,8,8,2,64,slow_tempo
R_OvU6r64d7zUL99T,,anonymous,EN,7,7,1,34,natural_tempo
R_Bx08EcgtaG5UAmZ,,anonymous,EN,9,6,2,53,fast_tempo
R_2tr0ys0num5a7ur,,anonymous,EN,6,8,1,55,slow_tempo
R_2woDnDL6VQDesDW,,anonymous,EN,9,9,1,75,fast_tempo
R_2VjXCevegKsCatg,,anonymous,EN,8,7,2,51,natural_tempo
R_2YRKBkDzggCbGLN,,anonymous,EN,9,9,2,34,slow_tempo
R_bpVKlCTIHHNd6Ct,,anonymous,EN,2,3,2,28,fast_tempo
R_3qxuC6v2OefU9Ag,,anonymous,EN,7,6,2,22,slow_tempo
R_1ob5GZWUH8OvBic,,anonymous,EN,7,8,2,20,fast_tempo
R_2CPzob9CVz4ssy1,,anonymous,EN,9,9,1,31,natural_tempo
R_1GD34rdh6K0ntXX,,anonymous,EN,8,9,1,31,natural_tempo
R_3FKvngbuNSY5Rnc,,anonymous,EN,6,7,1,69,fast_tempo
R_UmgFI1kKQMrTNzX,,anonymous,EN,9,9,1,70,slow_tempo
R_qPIOBbaHUQSlylr,,anonymous,EN,9,9,1,19,slow_tempo
R_1CltEm2OWc3Y6WK,,anonymous,EN,8,7,1,36,natural_tempo
R_W81zCRQ1xsVj44N,,anonymous,EN,2,6,1,39,fast_tempo
R_WoH95KTNwjBTQkh,,anonymous,EN,6,6,2,55,fast_tempo
R_xsCUQLQaQu4AziF,,anonymous,EN,4,6,1,31,natural_tempo
R_2OUpVaPMxnjoTM4,,anonymous,EN,8,7,1,44,slow_tempo
R_2QYhyK9QlzLRKat,,anonymous,EN,7,8,1,24,natural_tempo
R_2UhHkKVxH3lO28H,,anonymous,EN,9,9,2,30,slow_tempo
R_30iZ0btYApUrcoX,,anonymous,EN,8,7,1,38,fast_tempo
R_wR9zHn2OHbwTfiN,,anonymous,EN,2,2,2,51,natural_tempo
R_3EfMiS2SOK4bF4k,,anonymous,EN,9,9,2,22,fast_tempo
R_3GAJ8c7n0azY1xp,,anonymous,EN,9,7,2,29,slow_tempo
R_SBjK0bPPUkzDJYZ,,anonymous,EN,8,8,2,30,fast_tempo
R_3m2W8XNoTUCsOmt,,anonymous,EN,8,8,2,34,natural_tempo
R_1LIN6QWdARVgd3D,,anonymous,EN,7,7,2,33,slow_tempo
R_1OwxiRGGKiQdEdM,,anonymous,EN,6,7,2,29,slow_tempo
R_8wVnXh3ZfvxTBh7,,anonymous,EN,9,8,1,53,fast_tempo
R_1nSXMxpBo7Cb5Nx,,anonymous,EN,6,6,2,37,fast_tempo
R_1pRQAQ5OlGECgvB,,anonymous,EN,9,9,1,29,natural_tempo
R_ZqtsFubLmRO1D5D,,anonymous,EN,6,6,2,52,natural_tempo
R_3FVfIpIkEQ0KIjf,,anonymous,EN,6,8,2,41,slow_tempo
R_1i5xWWvqJF1DQkb,,anonymous,EN,8,8,1,24,fast_tempo
R_1rkyBPTyg49dtDc,,anonymous,EN,8,8,2,57,fast_tempo
R_OloRJndzOW1SFzP,,anonymous,EN,9,9,1,37,fast_tempo
R_Of05POumCNsVHih,,anonymous,EN,7,7,1,53,slow_tempo
R_2VkIlUkSBimH3op,,anonymous,EN,8,9,2,32,natural_tempo
R_31mxNhdMs34Rzq6,,anonymous,EN,7,7,2,37,slow_tempo
R_1mjVUCQb4HEQ0eK,,anonymous,EN,6,7,2,37,fast_tempo
R_2PpLc6MUtUHzEkN,,anonymous,EN,8,8,1,33,slow_tempo
R_BrBYbhiPPgjaMHD,,anonymous,EN,9,9,2,42,natural_tempo
R_3qUIJmZo0xoHb5n,,anonymous,EN,9,9,2,30,slow_tempo
R_UfoZJBIcEUlaeKl,,anonymous,EN,6,7,2,40,natural_tempo
R_4IOCFV1UEH0Asz7,,anonymous,EN,7,8,2,43,fast_tempo
R_22n0U88bzu79j4p,,anonymous,EN,8,7,2,67,fast_tempo
R_yOWSPlohbQSAOjf,,anonymous,EN,5,5,1,51,natural_tempo
R_3ncMfQ92oVvajoM,,anonymous,EN,6,2,1,24,natural_tempo
R_QhxL7SGtptRjKZr,,anonymous,EN,9,9,1,45,slow_tempo
R_XBvwuNkzEUxN81b,,anonymous,EN,8,8,1,32,slow_tempo
R_2tbTXMeh83F7bsC,,anonymous,EN,6,6,1,25,natural_tempo
R_3LXevLrSLrB9nUt,,anonymous,EN,8,7,1,34,natural_tempo
R_2dDSvhoV4QY6s5y,,anonymous,EN,9,9,1,32,slow_tempo
R_322RCnnDVqA2QgG,,anonymous,EN,5,5,1,58,fast_tempo
R_u2lehVWnBsgIY2B,,anonymous,EN,9,9,1,34,natural_tempo
R_z9avPZnmNb1byKJ,,anonymous,EN,5,5,2,35,slow_tempo
R_d4Ip83qiSDjziyR,,anonymous,EN,3,2,2,49,natural_tempo
R_1i2s7ocXW72B4x9,,anonymous,EN,6,5,2,58,fast_tempo
R_2xWDqq51IDW6cbb,,anonymous,EN,5,5,1,25,slow_tempo
